id,name,type,type_damage,pp,power,description,name_corrected
527,electroweb,Electric, Special,15,55,The user captures opposing Pokémon in an electric net to inflict damage. This also lowers their Speed stats.,electroweb
528,wild charge,Electric, Physical,15,90,The user shrouds itself in electricity and smashes into its target. This also damages the user a little.,wild-charge
529,drill run,Ground, Physical,10,80,The user crashes into the target while rotating its body like a drill. This move has a heightened chance of landing a critical hit.,drill-run
530,dual chop,Dragon, Physical,15,40,The user attacks its target by hitting it with brutalstrikes. The target is hit twice in a row.,dual-chop
531,heart stamp,Psychic, Physical,25,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,heart-stamp
532,horn leech,Grass, Physical,10,75,The user drains the target's energy with its horns. The user's HP is restored by up to half the damage taken by the target.,horn-leech
533,sacred sword,Fighting, Physical,15,90,The user attacks by slicing with a sword. The target's stat changes don't affect the damage inflicted by this move.,sacred-sword
534,razor shell,Water, Physical,10,75,The user cuts the target with sharp shells to inflict damage. This may also lower the target's Defense stat.,razor-shell
535,heat crash,Fire, Physical,10,0,The user slams into the target with its flame-covered body. The more the user outweighs the target  the greater the move's power.,heat-crash
536,leaf tornado,Grass, Special,10,65,The user attacks its target by encircling it in sharpleaves. This attack may also lower thetarget’s accuracy.,leaf-tornado
537,steamroller,Bug, Physical,20,65,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,steamroller
538,cotton guard,Grass, Status,10,0,The user protects itself by wrapping its body in soft cotton  drastically boosting its Defense stat.,cotton-guard
539,night daze,Dark, Special,10,85,The user looses a pitch-black shock wave at the target to inflict damage. This may also lower the target's accuracy.,night-daze
540,psystrike,Psychic, Special,10,100,The user materializes an odd psychic wave to attack the target. This move deals physical damage.,psystrike
541,tail slap,Normal, Physical,10,25,The user attacks by striking the target with its hard tail. This move hits two to five times in a row.,tail-slap
542,hurricane,Flying, Special,10,110,The user attacks by wrapping its opponent in a fierce wind. This may also confuse the target.,hurricane
543,head charge,Normal, Physical,15,120,The user charges its head into its target  using itspowerful guard hair. This also damages the usera little.,head-charge
544,gear grind,Steel, Physical,15,50,The user attacks by throwing steel gears at itstarget twice.,gear-grind
545,searing shot,Fire, Special,5,100,The user torches everything around it in an infernoof scarlet flames. This may also leave those it hitswith a burn.,searing-shot
546,techno blast,Normal, Special,5,120,The user fires a beam of light at its target. Themove’s type changes depending on the Drive theuser holds.,techno-blast
547,relic song,Normal, Special,10,75,The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.,relic-song
548,secret sword,Fighting, Special,10,85,The user cuts with its long horn. The odd power contained in the horn deals physical damage to the target.,secret-sword
549,glaciate,Ice, Special,10,65,The user attacks by blowing freezing cold air at opposing Pokémon. This also lowers their Speed stats.,glaciate
550,bolt strike,Electric, Physical,5,130,The user surrounds itself with a great amount of electricity and charges the target. This may also leave the target with paralysis.,bolt-strike
551,blue flare,Fire, Special,5,130,The user attacks by engulfing the target in an intense  yet beautiful  blue flame. This may also leave the target with a burn.,blue-flare
552,fiery dance,Fire, Special,10,80,Cloaked in flames  the user attacks the target by dancing and flapping its wings. This may also boost the user's Sp. Atk stat.,fiery-dance
553,freeze shock,Ice, Physical,5,140,The turn after using this move  the user hits the target with electrically charged ice to inflict damage. This may also leave the target with paralysis.,freeze-shock
554,ice burn,Ice, Special,5,140,The turn after using this move  the user surrounds the target with an ultracold  freezing wind to inflict damage. This may also leave the target with a burn.,ice-burn
555,snarl,Dark, Special,15,55,The user yells as if it's ranting about something  which lowers the Sp. Atk stats of opposing Pokémon.,snarl
556,icicle crash,Ice, Physical,10,85,The user attacks by crashing large icicles onto the target. This may also make the target flinch.,icicle-crash
557,v-create,Fire, Physical,5,180,With a hot flame on its forehead  the user hurls itselfat its target. This lowers the user’s Defense  Sp. Def and Speed stats.,v-create
558,fusion flare,Fire, Special,5,100,The user brings down a giant flame. This move's power is boosted when influenced by an enormous lightning bolt.,fusion-flare
559,fusion bolt,Electric, Physical,5,100,The user throws down a giant lightning bolt. This move's power is boosted when influenced by an enormous flame.,fusion-bolt
560,flying press,Fighting, Physical,10,100,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.,flying-press
561,mat block,Fighting, Status,10,0,Using a pulled-up mat as a shield  the user protectsitself and its allies from damaging moves. This doesnot stop status moves.,mat-block
562,belch,Poison, Special,10,120,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.,belch
563,rototiller,Ground, Status,10,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,rototiller
564,sticky web,Bug, Status,20,0,The user weaves a sticky net around the opposing team  which lowers their Speed stats upon switching into battle.,sticky-web
565,fell stinger,Bug, Physical,25,50,When the user knocks out a target with this move  the user's Attack stat is boosted drastically.,fell-stinger
566,phantom force,Ghost, Physical,10,90,The user vanishes somewhere  then strikes the target on the next turn. This move hits even if the target protects itself.,phantom-force
567,trick-or-treat,Ghost, Status,20,0,The user takes the target trick-or-treating.This adds Ghost type to the target’s type.,trick-or-treat
568,noble roar,Normal, Status,30,0,Letting out a noble roar  the user intimidates the target and lowers the target's Attack and Sp. Atk stats.,noble-roar
569,ion deluge,Electric, Status,25,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,ion-deluge
570,parabolic charge,Electric, Special,20,65,The user attacks everything around it. The user's HP is restored by half the damage taken by those hit.,parabolic-charge
571,forest's curse,Grass, Status,20,0,The user puts a forest curse on the target. This adds Grass type to the target's type.,forests-curse
572,petal blizzard,Grass, Physical,15,90,The user stirs up a violent petal blizzard and damages everything around it.,petal-blizzard
573,freeze-dry,Ice, Special,20,70,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.,freeze-dry
574,disarming voice,Fairy, Special,15,40,Letting out a charming cry  the user does emotional damage to opposing Pokémon. This attack never misses.,disarming-voice
575,parting shot,Dark, Status,20,0,With a parting threat  the user lowers the target's Attack and Sp. Atk stats. Then it switches places with a party Pokémon in waiting.,parting-shot
576,topsy-tury,Dark, Status,20,0,All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.,topsy-tury
577,draining kiss,Fairy, Special,10,50,The user steals the target's HP with a kiss. The user's HP is restored by over half the damage taken by the target.,draining-kiss
578,crafty shield,Fairy, Status,10,0,The user protects itself and its allies from statusmoves with a mysterious power. This does not stopmoves that do damage.,crafty-shield
579,flower shield,Fairy, Status,10,0,The user raises the Defense stats of all Grass-typePokémon in battle with a mysterious power.,flower-shield
580,grassy terrain,Grass, Status,10,0,The user turns the ground into Grassy Terrain for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass-type moves.,grassy-terrain
581,misty terrain,Fairy, Status,10,0,This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.,misty-terrain
582,electrify,Electric, Status,20,0,If the target is electrified before it uses a moveduring that turn  the target’s move becomesElectric type.,electrify
583,play rough,Fairy, Physical,10,90,The user attacks by playing rough with the target. This may also lower the target's Attack stat.,play-rough
584,fairy wind,Fairy, Special,30,40,The user attacks by stirring up a fairy wind to strike the target.,fairy-wind
585,moonblast,Fairy, Special,15,95,Borrowing the power of the moon  the user attacks the target. This may also lower the target's Sp. Atk stat.,moonblast
586,boomburst,Normal, Special,10,140,The user attacks everything around it with the destructive power of a terrible explosive sound.,boomburst
587,fairy lock,Fairy, Status,10,0,By locking down the battlefield  the user keeps all Pokémon from fleeing during the next turn.,fairy-lock
588,king's shield,Steel, Status,10,0,The user takes a defensive stance while it protects itself from damage. It also lowers the Attack stat of any attacker that makes direct contact.,kings-shield
589,play nice,Normal, Status,20,0,The user and the target become friends  and the target loses its will to fight. This lowers the target's Attack stat.,play-nice
590,confide,Normal, Status,20,0,The user tells the target a secret  and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat.,confide
591,diamond storm,Rock, Physical,5,100,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply boost the user's Defense stat.,diamond-storm
592,steam eruption,Water, Special,5,110,The user immerses the target in superheated steam. This may also leave the target with a burn.,steam-eruption
593,hyperspace hole,Psychic, Special,5,80,Using a hyperspace hole  the user appears right next to the target and strikes. This attack can hit a target using a move such as Protect or Detect.,hyperspace-hole
594,water shuriken,Water, Special,20,15,The user hits the target with throwing stars two to five times in a row. This move always goes first.,water-shuriken
595,mystical fire,Fire, Special,10,75,The user attacks by breathing a special  hot fire. This also lowers the target's Sp. Atk stat.,mystical-fire
596,spiky shield,Grass, Status,10,0,In addition to protecting the user from attacks  this move also damages any attacker that makes direct contact.,spiky-shield
597,aromatic mist,Fairy, Status,20,0,The user boosts the Sp. Def stat of an ally Pokémon by using a mysterious aroma.,aromatic-mist
598,eerie impulse,Electric, Status,15,0,The user's body generates an eerie impulse. Exposing the target to it harshly lowers the target's Sp. Atk stat.,eerie-impulse
599,venom drench,Poison, Status,20,0,Opposing Pokémon are drenched in an oddpoisonous liquid. This lowers the Attack  Sp. Atk  andSpeed stats of a poisoned target.,venom-drench
600,powder,Bug, Status,20,0,The user covers the target in a combustible powder.If the target uses a Fire-type move  the powderexplodes and damages the target.,powder
601,geomancy,Fairy, Status,10,0,The user absorbs energy and sharply raises itsSp. Atk  Sp. Def  and Speed stats on the next turn.,geomancy
602,magnetic flux,Electric, Status,20,0,The user manipulates magnetic fields  which boosts the Defense and Sp. Def stats of ally Pokémon with the Plus Ability or the Minus Ability.,magnetic-flux
604,electric terrain,Electric, Status,10,0,The user turns the ground into Electric Terrain for five turns  powering up Electric-type moves. Pokémon on the ground can no longer fall asleep.,electric-terrain
605,dazzling gleam,Fairy, Special,10,80,The user damages opposing Pokémon by emitting a powerful flash.,dazzling-gleam
606,celebrate,Normal, Status,40,0,The Pokémon congratulates you on your special day!,celebrate
607,hold hands,Normal, Status,40,0,The user and an ally hold hands. This makes themvery happy.,hold-hands
608,baby-doll eyes,Fairy, Status,30,0,The user stares at the target with its baby-doll eyes  which lowers the target's Attack stat. This move always goes first.,baby-doll-eyes
609,nuzzle,Electric, Physical,20,20,The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.,nuzzle
610,hold back,Normal, Physical,40,40,The user holds back when it attacks  and the targetis left with at least 1 HP.,hold-back
611,infestation,Bug, Special,20,20,The target is infested and attacked for four to five turns. The target can't flee during this time.,infestation
612,power-up punch,Fighting, Physical,20,40,Striking opponents over and over makes the user’sfists harder. Hitting a target raises the Attack stat.,power-up-punch
613,oblion wing,Flying, Special,10,80,The user absorbs its target’s HP. The user’s HP is restored by over half of the damage taken by the target.,oblion-wing
35,wrap,Normal, Physical,20,15,A long body  vines  or the like are used to wrap and squeeze the target for four to five turns.,wrap
614,thousand arrows,Ground, Physical,10,90,This move also hits opposing Pokémon that are inthe air. Those Pokémon are knocked down tothe ground.,thousand-arrows
615,thousand waves,Ground, Physical,10,90,The user attacks with a wave that crawls alongthe ground. Those it hits can’t flee from battle.,thousand-waves
616,land's wrath,Ground, Physical,10,90,The user gathers the energy of the land and focuses that power on opposing Pokémon to damage them.,lands-wrath
617,light of ruin,Fairy, Special,5,140,Drawing power from the Eternal Flower  the user fires a powerful beam of light. This also damages the user quite a lot.,light-of-ruin
618,origin pulse,Water, Special,10,110,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.,origin-pulse
619,precipice blades,Ground, Physical,10,120,The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.,precipice-blades
620,dragon ascent,Flying, Physical,5,120,The user attacks the target by dropping out of the sky at high speed. This also lowers the user's Defense and Sp. Def stats.,dragon-ascent
659,shore up,Ground, Status,10,0,The user restores its own HP by up to half its max HP. It regains more HP in a sandstorm.,shore-up
660,first impression,Bug, Physical,10,90,Although this move has great power  it works only on the first turn each time the user enters battle.,first-impression
661,baneful bunker,Poison, Status,10,0,In addition to protecting the user from attacks  this move also poisons any attacker that makes direct contact.,baneful-bunker
662,spirit shackle,Ghost, Physical,10,80,The user attacks while simultaneously stitching the target's shadow to the ground to prevent the target from fleeing.,spirit-shackle
663,darkest lariat,Dark, Physical,10,85,The user swings both arms and hits the target. The target's stat changes don't affect the damage inflicted by this move.,darkest-lariat
664,sparkling aria,Water, Special,10,90,The user bursts into song  emitting many bubbles. Any Pokémon suffering from a burn will be cured by the touch of these bubbles.,sparkling-aria
665,ice hammer,Ice, Physical,10,100,The user swings its strong  heavy fist at the target to inflict damage. This also lowers the user's Speed stat.,ice-hammer
666,floral healing,Fairy, Status,10,0,The user restores the target's HP by up to half its max HP. More HP is restored when the ground is Grassy Terrain.,floral-healing
667,high horsepower,Ground, Physical,10,95,The user fiercely attacks the target using its entire body.,high-horsepower
668,strength sap,Grass, Status,10,0,The user restores its own HP by the same amount as the target's Attack stat. It then lowers the target's Attack stat.,strength-sap
669,solar blade,Grass, Physical,10,125,The user gathers light on the first turn  then fills a blade with the light's energy and attacks on the next turn.,solar-blade
670,leafage,Grass, Physical,40,40,The user attacks by pelting the target with leaves.,leafage
671,spotlight,Normal, Status,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,spotlight
672,toxic thread,Poison, Status,20,0,The user shoots poisonous threads to poison the target and lower the target's Speed stat.,toxic-thread
673,laser focus,Normal, Status,30,0,The user concentrates intensely. The attack on thenext turn always results in a critical hit.,laser-focus
674,gear up,Steel, Status,20,0,The user engages its gears to raise the Attack andSp. Atk stats of ally Pokémon with the Plus orMinus Ability.,gear-up
675,throat chop,Dark, Physical,15,80,The user attacks the target's throat  and the resultant suffering prevents the target from using sound-based moves for two turns.,throat-chop
676,pollen puff,Bug, Special,15,90,The user attacks the enemy with a pollen puff that explodes. If the target is an ally  it gives the ally a pollen puff that restores its HP instead.,pollen-puff
677,anchor shot,Steel, Physical,20,80,The user entangles the target with its anchor chainwhile attacking. The target becomes unable to flee.,anchor-shot
678,psychic terrain,Psychic, Status,10,0,This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns.,psychic-terrain
679,lunge,Bug, Physical,15,80,The user makes a lunge at the target  attacking with full force. This also lowers the target's Attack stat.,lunge
680,fire lash,Fire, Physical,15,80,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,fire-lash
681,power trip,Dark, Physical,10,20,The user boasts its strength and attacks the target. The more the user's stats are boosted  the greater the move's power.,power-trip
682,burn up,Fire, Special,5,130,To inflict massive damage  the user burns itself out.After using this move  the user will no longer beFire type.,burn-up
683,speed swap,Psychic, Status,10,0,The user exchanges Speed stats with the target.,speed-swap
684,smart strike,Steel, Physical,10,70,The user stabs the target with a sharp horn. This attack never misses.,smart-strike
685,purify,Poison, Status,20,0,The user heals the target’s status condition. If themove succeeds  it also restores the user’s own HP.,purify
686,reelation dance,Normal, Special,15,90,The user attacks the target by dancing with all its might. This move becomes the same type as the user's type.,reelation-dance
687,core enforcer,Dragon, Special,10,100,If the Pokémon the user has inflicted damage onhave already used their moves  this move eliminatesthe effect of the target’s Ability.,core-enforcer
688,trop kick,Grass, Physical,15,70,The user lands an intense kick of tropical origins on the target. This also lowers the target's Attack stat.,trop-kick
689,instruct,Psychic, Status,15,0,The user instructs the target to reuse the move last used by the target.,instruct
690,beak blast,Flying, Physical,15,100,The user first heats up its beak  and then it attacks the target. Making direct contact with the user while it's heating up its beak results in a burn.,beak-blast
691,clanging scales,Dragon, Special,5,110,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat is lowered after the attack.,clanging-scales
692,dragon hammer,Dragon, Physical,15,90,The user wields its body like a hammer to attack the target and inflict damage.,dragon-hammer
693,brutal swing,Dark, Physical,20,60,The user swings its body around violently to inflict damage on everything in its vicinity.,brutal-swing
694,aurora veil,Ice, Status,20,0,This move reduces damage from physical and special moves for five turns. This can be used only when it is snowing.,aurora-veil
704,shell trap,Fire, Special,5,150,The user sets a shell trap. If the user is hit by aphysical move  the trap will explode and inflictdamage on opposing Pokémon.,shell-trap
705,fleur cannon,Fairy, Special,5,130,The user unleashes a strong beam. The recoil from this move harshly lowers the user's Sp. Atk stat.,fleur-cannon
706,psychic fangs,Psychic, Physical,10,85,The user attacks by biting the target with its psychic capabilities. This move can also break barriers  such as Light Screen and Reflect.,psychic-fangs
707,stomping tantrum,Ground, Physical,10,75,Driven by frustration  the user attacks the target. This move's power is doubled if the user's previous move failed.,stomping-tantrum
708,shadow bone,Ghost, Physical,10,85,The user attacks by beating the target with abone that contains a spirit. This may also lowerthe target’s Defense stat.,shadow-bone
709,accelerock,Rock, Physical,20,40,The user smashes into the target at high speed. This move always goes first.,accelerock
710,liquidation,Water, Physical,10,85,The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat.,liquidation
711,prismatic laser,Psychic, Special,10,160,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,prismatic-laser
712,spectral thief,Ghost, Physical,10,90,The user hides in the target’s shadow  stealsthe target’s stat boosts  and then attacks.,spectral-thief
713,sunsteel strike,Steel, Physical,5,100,The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Ability.,sunsteel-strike
714,moongeist beam,Ghost, Special,5,100,The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Ability.,moongeist-beam
715,tearful look,Normal, Status,20,0,The user gets teary-eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,tearful-look
716,zing zap,Electric, Physical,10,80,The user crashes into the target  delivering a powerful electric shock. This may also make the target flinch.,zing-zap
717,nature's madness,Fairy, Special,10,0,The user hits the target with the force of nature.It halves the target’s HP.,natures-madness
718,multi-attack,Normal, Physical,10,120,Cloaking itself in high energy  the user slams into thetarget. The memory held determines the move’s type.,multi-attack
720,mind blown,Fire, Special,5,150,The user attacks everything around it by causing itsown head to explode. This also damages the user.,mind-blown
721,plasma fists,Electric, Physical,15,100,The user attacks with electrically charged fists.This move changes Normal-type moves toElectric-type moves.,plasma-fists
722,photon geyser,Psychic, Special,5,100,The user attacks the target with a pillar of light. This move inflicts damage using the Attack or Sp. Atk stat—whichever is higher for the user.,photon-geyser
729,zippy zap,Electric, Physical,10,80,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,zippy-zap
730,splishy splash,Water, Special,15,90,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,splishy-splash
731,floaty fall,Flying, Physical,15,90,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,floaty-fall
732,pika papow,Electric, Special,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,pika-papow
733,bouncy bubble,Water, Special,20,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,bouncy-bubble
734,buzzy buzz,Electric, Special,20,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,buzzy-buzz
735,sizzly slide,Fire, Physical,20,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,sizzly-slide
736,glitzy glow,Psychic, Special,15,80,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,glitzy-glow
737,baddy bad,Dark, Special,15,80,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,baddy-bad
738,sappy seed,Grass, Physical,10,100,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,sappy-seed
739,freezy frost,Ice, Special,10,100,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,freezy-frost
740,sparkly swirl,Fairy, Special,5,120,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,sparkly-swirl
741,veevee volley,Normal, Physical,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,veevee-volley
742,double iron bash,Steel, Physical,5,60,The user rotates  centering the hex nut in its chest  and then strikes with its arms twice in a row. This may also make the target flinch.,double-iron-bash
743,max guard,Normal, Status,10,0,This move enables the user to protect itself fromall attacks. Its chance of failing rises if it is usedin succession.,max-guard
744,dynamax cannon,Dragon, Special,5,100,The user condenses energy within its body and unleashes that energy from its core to inflict damage.,dynamax-cannon
745,snipe shot,Water, Special,15,80,The user ignores the effects of opposing Pokémon's moves and Abilities that draw in moves  allowing this move to hit the chosen target.,snipe-shot
746,jaw lock,Dark, Physical,10,80,This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.,jaw-lock
747,stuff cheeks,Normal, Status,10,0,The user eats its held Berry  then sharply boosts its Defense stat.,stuff-cheeks
748,no retreat,Fighting, Status,5,0,This move boosts all the user's stats but prevents the user from switching out or fleeing.,no-retreat
749,tar shot,Rock, Status,15,0,The user pours sticky tar over the target  lowering the target's Speed stat. The target becomes weaker to Fire-type moves.,tar-shot
750,magic powder,Psychic, Status,20,0,The user scatters a cloud of magic powder that changes the target's type to Psychic.,magic-powder
751,dragon darts,Dragon, Physical,10,50,The user attacks twice using Dreepy. If there are two opposing Pokémon  this move hits each of them once.,dragon-darts
752,teatime,Normal, Status,10,0,The user has teatime with all the Pokémon currently in the battle. Each Pokémon eats its held Berry.,teatime
753,octolock,Fighting, Status,15,0,The user locks the target in and prevents it fromfleeing. This move also lowers the target’s Defenseand Sp. Def every turn.,octolock
754,bolt beak,Electric, Physical,10,85,The user stabs the target with its electrified beak.If the user attacks before the target  the power of thismove is doubled.,bolt-beak
755,fishious rend,Water, Physical,10,85,The user rends the target with its hard gills.If the user attacks before the target  the power of thismove is doubled.,fishious-rend
756,court change,Normal, Status,10,0,With its mysterious power  the user swaps the effects on either side of the field.,court-change
775,clangorous soul,Dragon, Status,5,0,The user boosts all its stats by using some of its own HP.,clangorous-soul
776,body press,Fighting, Physical,10,80,The user attacks by slamming its body into the target. The higher the user's Defense stat  the greater the damage this move deals.,body-press
777,decorate,Fairy, Status,15,0,The user sharply boosts the target's Attack and Sp. Atk stats by decorating the target.,decorate
778,drum beating,Grass, Physical,10,80,The user plays its drum  controlling the drum's roots to attack the target. This also lowers the target's Speed stat.,drum-beating
779,snap trap,Grass, Physical,15,35,The user snares the target in a snap trap for four tofive turns.,snap-trap
780,pyro ball,Fire, Physical,5,120,The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn.,pyro-ball
781,behemoth blade,Steel, Physical,5,100,The user becomes a gigantic sword and cuts the target.This move deals twice the damage if the targetis Dynamaxed.,behemoth-blade
782,behemoth bash,Steel, Physical,5,100,The user becomes a gigantic shield and slams intothe target. This move deals twice the damage if thetarget is Dynamaxed.,behemoth-bash
783,aura wheel,Electric, Physical,10,110,Morpeko attacks and boosts its Speed stat with the energy stored in its cheeks. This move's type changes depending on the user's form.,aura-wheel
1,pound,Normal, Physical,35,40,The target is physically pounded with a long tail  a foreleg  or the like.,pound
2,karate chop,Fighting, Physical,25,50,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,karate-chop
3,double slap,Normal, Physical,10,15,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,double-slap
4,comet punch,Normal, Physical,15,18,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,comet-punch
5,mega punch,Normal, Physical,20,80,The target is slugged by a punch thrown with muscle-packed power.,mega-punch
6,pay day,Normal, Physical,20,40,Coins are hurled at the target to inflict damage. Money is earned after the battle.,pay-day
7,fire punch,Fire, Physical,15,75,The target is attacked with a fiery punch. This may also leave the target with a burn.,fire-punch
8,ice punch,Ice, Physical,15,75,The target is attacked with an icy punch. This may also leave the target frozen.,ice-punch
9,thunder punch,Electric, Physical,15,75,The target is attacked with an electrified punch. This may also leave the target with paralysis.,thunder-punch
10,scratch,Normal, Physical,35,40,Hard  pointed  sharp claws rake the target to inflict damage.,scratch
11,vise grip,Normal, Physical,30,55,The user rotates  centering the hex nut in its chest  and then strikes with its arms twice in a row. This may also make the target flinch.,vise-grip
12,guillotine,Normal, Physical,5,0,A vicious tearing attack with big pincers. The target faints instantly if this attack hits.,guillotine
13,razor wind,Normal, Special,10,80,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,razor-wind
14,swords dance,Normal, Status,20,0,A frenetic dance to uplift the fighting spirit. This sharply boosts the user's Attack stat.,swords-dance
15,cut,Normal, Physical,30,50,The target is cut with a scythe or claw.,cut
16,gust,Flying, Special,35,40,A gust of wind is whipped up by wings and launched at the target to inflict damage.,gust
17,wing attack,Flying, Physical,35,60,The target is struck with large  imposing wings spread wide to inflict damage.,wing-attack
18,whirlwind,Normal, Status,20,0,The target is blown away  and a different Pokémon is dragged out. In the wild  this ends a battle against a single Pokémon.,whirlwind
19,fly,Flying, Physical,15,90,The user flies up into the sky on the first turn  then attacks on the next turn.,fly
20,bind,Normal, Physical,20,15,A long body  tentacles  or the like are used to bind and squeeze the target for four to five turns.,bind
21,slam,Normal, Physical,20,80,The target is slammed with a long tail  vines  or the like to inflict damage.,slam
22,vine whip,Grass, Physical,25,45,The target is struck with slender  whiplike vines to inflict damage.,vine-whip
23,stomp,Normal, Physical,20,65,The user attacks by stomping on the target with a big foot. This may also make the target flinch.,stomp
24,double kick,Fighting, Physical,30,30,The user attacks by kicking the target twice in a row using two feet.,double-kick
25,mega kick,Normal, Physical,5,120,The target is attacked by a kick launched with muscle-packed power.,mega-kick
26,jump kick,Fighting, Physical,10,100,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,jump-kick
27,rolling kick,Fighting, Physical,15,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,rolling-kick
28,sand attack,Ground, Status,15,0,Sand is hurled in the target's face  lowering the target's accuracy.,sand-attack
29,headbutt,Normal, Physical,15,70,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,headbutt
30,horn attack,Normal, Physical,25,65,The target is jabbed with a sharply pointed horn to inflict damage.,horn-attack
31,fury attack,Normal, Physical,20,15,The user attacks by jabbing the target with a horn  a beak  or the like. This move hits two to five times in a row.,fury-attack
32,horn drill,Normal, Physical,5,0,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,horn-drill
33,tackle,Normal, Physical,35,40,A physical attack in which the user charges and slams into the target with its whole body.,tackle
34,body slam,Normal, Physical,15,85,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,body-slam
603,happy hour,Normal, Status,30,0,Using Happy Hour doubles the amount of prizemoney received after battle.,happy-hour
784,breaking swipe,Dragon, Physical,15,60,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.,breaking-swipe
785,branch poke,Grass, Physical,40,40,The user attacks the target by poking it with a sharply pointed branch.,branch-poke
786,overdrie,Electric, Special,10,80,The user attacks opposing Pokémon by twanging a guitar or bass guitar  causing a huge echo and strong vibration.,overdrie
787,apple acid,Grass, Special,10,80,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.,apple-acid
788,grav apple,Grass, Physical,10,80,The user inflicts damage by dropping an apple from high above. This also lowers the target's Defense stat.,grav-apple
789,spirit break,Fairy, Physical,15,75,The user attacks the target with so much force that it could break the target's spirit. This also lowers the target's Sp. Atk stat.,spirit-break
790,strange steam,Fairy, Special,10,90,The user attacks the target by emitting steam. This may also confuse the target.,strange-steam
791,life dew,Water, Status,10,0,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon currently in the battle.,life-dew
792,obstruct,Dark, Status,10,0,This move enables the user to protect itself from all attacks.Its chance of failing rises if it is used in succession.Direct contact harshly lowers the attacker’s Defense stat.,obstruct
793,false surrender,Dark, Physical,10,80,The user pretends to bow its head  but then it stabs the target with its disheveled hair. This attack never misses.,false-surrender
794,meteor assault,Fighting, Physical,5,150,The user attacks wildly with its thick leek.The user can’t move on the next turn  because theforce of this move makes it stagger.,meteor-assault
